id,code,title,definition
1937339080,1C22,Infections due to Chlamydia psittaci,"Any condition caused by an infection with the gram-negative bacteria Chlamydia psittaci. These conditions are characterised by variable clinical presentations such as fever, cough, headaches, chills, fatigue, nausea, vomiting, diarrhoea, or pneumonia. Transmission is commonly by inhalation of aersol contaminated with body fluids from infected birds, or direct contact with infected birds. Confirmation is by identification of Chlamydia psittaci."
1671640403,1F51.0,Gambiense trypanosomiasis,"A disease caused by an infection with the protozoan parasite Trypanosoma brucei gambiense. This disease is characterised by fever, headache, muscle and joint aches, or malaise. This disease may also present with lymphadenopathy, weight loss, or neurological deficits. Transmission is through the bite of an infected tsetse fly. Confirmation is by identification of Trypanosoma brucei gambiense in a biopsy of the lymph node."
1528414070,1A07,Typhoid fever,"A condition caused by an infection with the gram-negative bacteria Salmonella typhi. This condition is characterised by an acute sustained fever. This condition may present with weakness, stomach pains, headache, loss of appetite, or flat, rose-coloured spots. Transmission is by the faecal-oral route from the ingestion of contaminated food or water. Confirmation is by identification of Salmonella typhi in a faecal or blood sample."
328097188,1A36.12,Cutaneous amoebiasis,
1483190070,1D03,Infectious abscess of the central nervous system,"A focal suppurative process of the brain parenchyma, the intracranial or spinal epidural or subdural space, and less commonly the spinal cord parenchyma. The suppurative process is most commonly associated with bacterial infection, and occasionally with fungal, protozoal, or parasitic infection. Brain abscesses develop most commonly by spread from a contiguous infected site (ear, paranasal sinuses, mastoid air cells, teeth), craniofacial osteomyelitis, and following open head trauma or previous neurosurgical procedure. Haematogenous spread from purulent pulmonary infections, bacterial endocarditis, or other sites of infection, can also cause brain abscess . Patients with intracranial abscess present with variable combinations of headache, altered mental status, focal deficits, and seizures. Fever may be present. Patients with intraspinal abscess present with variable degrees of paraparesis or quadriparesis, sensory impairment below the level of the lesion, altered sphincter function, and back pain. The diagnosis is made by CT or MRI imaging, and may be confirmed by histological examination and culture of the abscess material following neurosurgical drainage. Lumbar puncture is usually contraindicated."
1056849595,1B13.0,Acute miliary tuberculosis of a single specified site,"A disease caused by an infection with the bacteria Mycobacterium tuberculosis that is disseminated through the body, and affecting a specific body site. This disease is characterised by numerous small lesions of 1-5 millimetre(s) in any organ, and fever. Transmission is commonly by inhalation of infected respiratory secretions. Confirmation is by radiography, CT, ultrasonography, and identification of Mycobacterium tuberculosis, depending on the site affected."
181304776,1D01.2,Parasitic or protozoal meningitis,
1622653958,1B74,Superficial bacterial folliculitis,"Bacterial infection of the follicular ostium manifested as follicular papules and pustules with perifollicular erythema. The most commonly isolated organisms are coagulase-negative staphylococci and Staphylococcus aureus. The infection may be acute but is more commonly subacute or chronic; individual lesions heal without scarring. Commonly affected sites include the scalp, beard area, thighs and buttocks."
813571137,1F66.4,Subcutaneous dirofilariasis,"Subcutaneous dirofilariasis normally results from the transmission of microfilariae of Dirofilaria repens from the latter’s natural animal host to man via a mosquito bite. The adult worm cannot develop fully in man but typically manifests as a subcutaneous nodule, commonly located on or around the eyelids."
51885381,1D85.1,Acute viral carditis,
1356928923,1D42,O'nyong-nyong fever,
738999268,1F57,Toxoplasmosis,"A disease caused by an infection with the protozoan parasite Toxoplasma gondii. This disease is characterised by fever, lymphadenitis, sore throat, or rash. Transmission is by direct ingestion of contaminated food, indirectly by food or water contaminated with infected cat faeces, or vertical transmission. Confirmation is by detection of antibodies against Toxoplasma gondii, or identification of Toxoplasma gondii in tissue, cerebrospinal fluid, blood, or other body fluids."
