ICD1,ICD2,Log2_Ratio,ICD11_1,ICD11_2
F11,K77,2.13189777986,6C43,1H0Z
F11,F14,2.38603458197,6C43,6C45
F06,F07,2.80057164481,6E6Z,6E6Z
F19,K77,1.89702506058,6C4D,1H0Z
F11,F19,1.77514974422,6C43,6C4D
J00,R05,1.063838,CA00,MD12
F07,R41,2.6043870848,6E6Z,MB21
F06,R41,2.44831692206,6E6Z,MB21
B18,K77,3.18317223161,1E51,1H0Z
L29,L30,1.42904,EC90,EA8Z
R05,R53,1.028586,MD12,MG25
J10,R53,1.09511,1E30,MG25
J00,J10,1.070308,CA00,1E30
F40,F41,1.366968,6B0Z,6B0Z
R05,R12,1.011869,MD12,MD95
H53,R07,1.361568,9D7Z,MD30
F11,F13,1.84740980511,6C43,6C44
J00,R53,1.14281,CA00,MG25
F11,F12,1.302806,6C43,6C41
F14,F15,2.76804398978,6C45,6C4C
F14,F19,1.83946424492,6C45,6C4D
B17,K77,2.7263791175,1E50,1H0Z
F12,F14,1.52742005239,6C41,6C45
J42,J45,2.38386604331,CA20.1Z,CA23.32
R12,R53,1.114026,MD95,MG25
J45,R05,1.082529,CA23.32,MD12
F18,R41,2.6796514023,6C4B,MB21
F10,G62,1.320882,6C40,8C03
F12,F15,1.66480667827,6C41,6C4C
B18,F19,2.39025028525,1E51,6C4D
F01,F06,2.82047976606,6D8Z,6E6Z
J42,R05,1.434542,CA20.1Z,MD12
F19,Z04,1.192849,6C4D,MF3Y
F14,K77,1.90938638783,6C45,1H0Z
M11,M19,2.66455236178,FA26,FA0Z
E10,E16,3.65742122882,5A10,5A4Z
K25,R12,1.338602,DA60,MD95
B18,F11,2.47991216538,1E51,6C43
R07,R30,1.83392552023,MD30,MF50
E10,E14,3.22223501639,5A10,5A14
R05,R50,1.349561,MD12,MG26
E11,E14,2.91982965132,5A11,5A14
F01,F07,2.80354625324,6D8Z,6E6Z
F22,Z04,1.000493,6A24,MF3Y
B34,R05,1.53088506083,1D9Z,MD12
