code,vectorization_text
1F57,infection with or disease caused by a sporozoan of the genus toxoplasma t gondii that invades the tissues and may seriously damage the central nervous system especially of infants
1C32,a disease characterized by fever chills headache backache and a spotty rash and caused by a bacterium of the genus rickettsia r akari transmitted to humans by the bite of a mite of the genus allodermanyssus a sanguineus living on rodents as the house mouse
1B91,any of several diseases of humans and domestic animals as cattle and dogs that are caused by infection with spirochetes of the genus leptospira called also lepto
1F80,infestation with or disease caused by the chinese liver fluke clonorchis sinensis that invades bile ducts of the liver after ingestion in uncooked fish and when present in large numbers causes severe systemic reactions including edema liver enlargement jaundice and diarrhea
1A31,infestation with or disease caused by a flagellate protozoan of the genus giardia especially g lamblia that is often characterized by diarrhea called also lambliasis
1F67,infestation with or disease caused by nematode worms of the genus gnathostoma commonly acquired by eating raw fish
1F62,infestation with or disease caused by ascarids
1A32,infection with or disease caused by cryptosporidia
1D80,an acute contagious virus disease caused by a paramyxovirus of the genus rubulavirus species mumps virus and marked by fever and by swelling especially of the parotid gland called also epidemic parotitis
1F75,the condition of being infected with spargana
1F63,infestation with or disease caused by nematode worms of the genus capillaria
1G01,infestation with fly maggots
1F20,infection with or disease caused by molds of the genus aspergillus
1F76,infestation with or disease caused by tapeworms
1F71,infestation with or disease caused by the fish tapeworm diphyllobothrium latum
1F61,intestinal infection caused by the larvae of a nematode family anisakidae and especially anisakis simplex and pseudoterranova decipiens and usually contracted by eating raw or undercooked fish
1B90.0,infection with or disease caused by spirilla
1F64,infestation with or disease caused by the guinea worm that is marked by painful blisters especially on the lower legs or feet from which one or more mature female guinea worms slowly emerge called also guinea worm disease
1F6C,infestation with or disease caused by roundworms of the genus syngamus gapes
1F2J,infection with or disease caused by a fungus of the genus sporothrix s schenckii synonym sporotrichum schenckii that is characterized by often ulcerating or suppurating nodules in the skin subcutaneous tissues and nearby lymph nodes that occurs especially in humans and horses and that is usually transmitted by entry of the fungus through a skin abrasion or wound
1F66.0,infestation with or disease caused by an eye worm of the genus loa l loa that migrates through the subcutaneous tissue and across the cornea of the eye
1F6G,infestation with or disease caused by nematode worms of the genus trichuris called also trichocephaliasis
1A90,a venereal disease caused by a hemophilic bacterium of the genus haemophilus h ducreyi and characterized by chancres that differ from those of syphilis in lacking firm indurated margins called also soft chancre
1A36,infection with or disease caused by amoebas especially entamoeba histolytica
1E71,a zoonotic disease especially of central and western africa that is caused by a poxvirus of the genus orthopoxvirus species monkeypox virus that is transmitted in humans usually by direct contact with the infectious lesions or bodily fluids of an infected person or animal and that is typically characterized by flu like symptoms followed one to four days later by skin eruptions on the face mouth and extremities with lesions that eventually fill with fluid before crusting over and sloughing off monkeypox
1F2A,a respiratory disease with symptoms like those of influenza that is endemic in the mississippi and ohio river valleys of the united states is caused by infection with a fungus of the genus histoplasma h capsulatum and is marked by benign involvement of lymph nodes of the trachea and bronchi usually without symptoms or by severe progressive generalized involvement of the lymph nodes and macrophage rich tissues as of the liver and spleen with fever anemia leukopenia and often with local lesions as of the skin mouth or throat
1F56,a fungal disease of the external mucous membranes as of the nose that is characterized by the formation of pinkish red friable sessile or pedunculated polyps and is caused by an ascomycetous fungus of the genus rhinosporidium r seeberi
1F72,infestation with the dog tapeworm dipylidium caninum
1F24,a chronic infection of skin and subcutaneous tissues that is caused by any of several darkly pigmented fungi such as fonsecaea pedrosoi phialophora verrucosa or cladophialophora carrionii is marked by the formation of usually warty nodular or scaly lesions especially on the legs or feet and occurs chiefly in tropical regions called also chromomycosis
1F2C,mycosis caused by fungi of the genus mucor usually primarily involving the lungs and invading other tissues by means of metastatic lesions
1F28,a disease as athlete s foot of the skin or skin derivatives that is caused by a dermatophyte
1F69,infestation with or disease caused by nematode worms of the genus oesophagostomum nodular disease
1F58,infection with or disease caused by microsporidian protozoans
1F83,infestation with or disease caused by a large intestinal fluke of the genus fasciolopsis f buski
1F82,infestation with or disease caused by liver flukes of the genus fasciola f hepatica or f gigantica
