vectorization_text,person,code
i accidentally spilled boiling water on my arm and now it s red and blistering what should i do,"panicked, young adult, male, college student",Burns
my kid touched a hot pan skin looks bad need help fast,"professional, teen, male, working class",Burns
got a nasty sunburn after hiking yesterday skin peeling now,"calm, teen, male, immigrant",Burns
touched exhaust pipe now my leg s got a second degree burn hurts bad,"neutral, child, male, affluent",Burns
hi i have a burn on my hand from a candle is aloe vera enough or should i see someone,"formal, teen, female, non-native English speaker",Burns
my friend got a chemical burn in chem lab should we go to er,"panicked, child, male, college student",Burns
i spilled coffee on myself and my skin looks like it s bubbling ouch,"informal, child, male, rural",Burns
was cooking and oil popped on my chest what s the best ointment,"formal, teen, female, affluent",Burns
steamed face too long skin feels raw is that a burn,"panicked, teen, female, working class",Burns
hot iron slipped and burned my thigh blister s big,"professional, elderly, non-binary, rural",Burns
i fell asleep in the sun and now my whole back is bright red what now,"professional, elderly, female, immigrant",Burns
burned my fingers lighting a firecracker they re swollen and hurt,"panicked, middle-aged, non-binary, non-native English speaker",Burns
used a hair removal cream and now skin is irritated and burning is that normal,"calm, middle-aged, male, working class",Burns
hot tea spilled over my foot should i cover the wound,"formal, elderly, female, working class",Burns
accidentally leaned on a hot car hood got a red patch advice,"calm, elderly, female, non-native English speaker",Burns
burned tongue on hot soup what helps with that,"slangy, middle-aged, male, non-native English speaker",Burns
fireplace accident arm got singed burns are painful,"neutral, middle-aged, non-binary, rural",Burns
my toddler touched the stove skin s red what to apply,"formal, middle-aged, female, non-native English speaker",Burns
oven burn blister formed can i pop it,"informal, young adult, male, non-native English speaker",Burns
used a heat pack and now skin is discolored is that a burn,"professional, teen, non-binary, urban",Burns
i have a burn from wax strip what cream works best,"panicked, middle-aged, non-binary, rural",Burns
i grabbed a hot pot handle fingers are throbbing,"informal, teen, female, college student",Burns
steam from rice cooker burned my wrist should i wrap it,"informal, middle-aged, female, non-native English speaker",Burns
had a bbq got too close to the flame now i ve got a bad burn on my leg,"panicked, elderly, non-binary, affluent",Burns
used hot water bottle woke up with red itchy skin,"neutral, elderly, female, college student",Burns
didn t realize how strong the sun was on the boat bad sunburn now,"professional, teen, male, urban",Burns
microwaved something too long it exploded on me skin is sore,"panicked, elderly, female, rural",Burns
hot glue gun accident fingers burned help,"informal, middle-aged, female, college student",Burns
messed up while soldering and burned my palm,"neutral, elderly, non-binary, urban",Burns
got frostbite then exposed to heat it burns is that normal,"formal, middle-aged, non-binary, working class",Burns
i accidentally spilled boiling water on my arm and now it s red and blistering what should i do,"neutral, teen, male, working class",Headache syndromes
my kid touched a hot pan skin looks bad need help fast,"calm, middle-aged, female, non-native English speaker",Headache syndromes
got a nasty sunburn after hiking yesterday skin peeling now,"slangy, elderly, non-binary, rural",Headache syndromes
touched exhaust pipe now my leg s got a second degree burn hurts bad,"formal, teen, male, non-native English speaker",Headache syndromes
