ICD11_code,Vector
Burns,"[ 0.294738, 0.078592, 0.408451, 0.386044, 0.216562, 0.253282,-0.137184,
 -0.097852, 0.140423, 0.11809 ,-0.064776,-0.067174, 0.116654,-0.119256,
 -0.007687, 0.007909,-0.217925, 0.083469, 0.183904,-0.005752,-0.042568,
  0.063778, 0.063744,-0.188034, 0.091023, 0.018689, 0.201408,-0.139713,
 -0.382175, 0.181474, 0.      ,-0.      ,-0.      ,-0.      ,-0.      ,
  0.      ,-0.      ,-0.      , 0.      ,-0.      , 0.      , 0.      ,
  0.      , 0.      ,-0.      ,-0.      ,-0.      ,-0.      , 0.      ,
 -0.      ,-0.      ,-0.      , 0.      , 0.      , 0.      ,-0.      ,
 -0.      ,-0.      , 0.      , 0.      , 0.      , 0.      ,-0.      ,
 -0.      , 0.      , 0.      ,-0.      , 0.      , 0.      , 0.      ,
  0.      , 0.      , 0.      , 0.      , 0.      ,-0.      , 0.      ,
 -0.      , 0.      ,-0.      , 0.      , 0.      ,-0.      , 0.      ,
  0.      , 0.      ,-0.      ,-0.      , 0.      ,-0.      ,-0.      ,
  0.      ,-0.      ,-0.      ,-0.      ,-0.      , 0.      ,-0.      ,
  0.      ,-0.      ,-0.      , 0.      ,-0.      ,-0.      ,-0.      ,
  0.      , 0.      , 0.      ,-0.      , 0.      , 0.      ,-0.      ,
  0.      , 0.      , 0.      ,-0.      ,-0.      ,-0.      ,-0.      ,
 -0.      ,-0.      , 0.      , 0.      , 0.      ,-0.      , 0.      ,
  0.      ,-0.      , 0.      ,-0.      ,-0.      ,-0.      , 0.      ,
 -0.      , 0.      ,-0.      ]"
Burns,"[ 0.398256, 0.107625, 0.048108,-0.01949 ,-0.429934,-0.231551,-0.167301,
  0.288884,-0.191511,-0.033988,-0.107194, 0.159596, 0.142155, 0.102908,
  0.096242,-0.019707, 0.152924, 0.12173 , 0.061253,-0.153489, 0.088263,
 -0.188646,-0.133735,-0.044915,-0.039287,-0.021944, 0.380018, 0.049535,
 -0.148798,-0.249285,-0.      ,-0.      , 0.      ,-0.      , 0.      ,
  0.      ,-0.      ,-0.      ,-0.      ,-0.      ,-0.      , 0.      ,
  0.      ,-0.      , 0.      ,-0.      ,-0.      ,-0.      , 0.      ,
 -0.      , 0.      , 0.      ,-0.      ,-0.      , 0.      ,-0.      ,
 -0.      , 0.      ,-0.      ,-0.      ,-0.      , 0.      ,-0.      ,
  0.      ,-0.      , 0.      , 0.      ,-0.      , 0.      , 0.      ,
  0.      , 0.      , 0.      , 0.      , 0.      ,-0.      ,-0.      ,
 -0.      , 0.      , 0.      , 0.      , 0.      ,-0.      , 0.      ,
  0.      , 0.      , 0.      , 0.      , 0.      ,-0.      ,-0.      ,
 -0.      , 0.      ,-0.      , 0.      ,-0.      , 0.      , 0.      ,
 -0.      ,-0.      , 0.      ,-0.      , 0.      , 0.      , 0.      ,
 -0.      , 0.      ,-0.      ,-0.      ,-0.      , 0.      ,-0.      ,
 -0.      , 0.      , 0.      ,-0.      , 0.      , 0.      ,-0.      ,
  0.      , 0.      ,-0.      ,-0.      ,-0.      , 0.      , 0.      ,
  0.      ,-0.      , 0.      ,-0.      ,-0.      , 0.      , 0.      ,
 -0.      , 0.      ,-0.      ]"
Burns,"[ 0.279888,-0.175172,-0.06571 , 0.078946,-0.109789,-0.240874, 0.185414,
 -0.093303, 0.073459, 0.250253, 0.288329,-0.014758,-0.290595,-0.23964 ,
  0.535759,-0.033393,-0.099733, 0.022037,-0.112941, 0.19603 ,-0.01332 ,
  0.105622,-0.066673, 0.242675,-0.105234,-0.014559, 0.134342,-0.132937,
 -0.047841, 0.017006,-0.      , 0.      ,-0.      ,-0.      , 0.      ,
 -0.      , 0.      ,-0.      ,-0.      ,-0.      , 0.      ,-0.      ,
 -0.      ,-0.      , 0.      , 0.      , 0.      , 0.      ,-0.      ,
  0.      , 0.      , 0.      ,-0.      ,-0.      ,-0.      , 0.      ,
 -0.      , 0.      ,-0.      ,-0.      ,-0.      ,-0.      , 0.      ,
 -0.      ,-0.      ,-0.      ,-0.      ,-0.      ,-0.      , 0.      ,
  0.      , 0.      , 0.      ,-0.      , 0.      , 0.      ,-0.      ,
  0.      ,-0.      ,-0.      , 0.      ,-0.      , 0.      , 0.      ,
 -0.      ,-0.      ,-0.      , 0.      ,-0.      ,-0.      ,-0.      ,
 -0.      ,-0.      , 0.      ,-0.      ,-0.      , 0.      ,-0.      ,
  0.      , 0.      ,-0.      , 0.      ,-0.      ,-0.      , 0.      ,
 -0.      ,-0.      ,-0.      , 0.      ,-0.      , 0.      ,-0.      ,
 -0.      , 0.      ,-0.      , 0.      , 0.      ,-0.      , 0.      ,
 -0.      , 0.      ,-0.      , 0.      , 0.      ,-0.      , 0.      ,
  0.      , 0.      ,-0.      , 0.      , 0.      , 0.      ,-0.      ,
  0.      ,-0.      , 0.      ]"
Burns,"[ 0.362605,-0.256586,-0.349238, 0.169152,-0.321825, 0.045215,-0.074262,
  0.110873,-0.121521,-0.108594,-0.268394,-0.006214,-0.034256, 0.044124,
 -0.200364,-0.002616,-0.245336,-0.07824 , 0.05139 , 0.084654,-0.052431,
  0.057957, 0.117134, 0.006591, 0.017295,-0.005874, 0.008551,-0.490562,
  0.213997, 0.062672,-0.      , 0.      ,-0.      ,-0.      , 0.      ,
  0.      , 0.      , 0.      ,-0.      ,-0.      ,-0.      ,-0.      ,
 -0.      ,-0.      ,-0.      ,-0.      ,-0.      , 0.      ,-0.      ,
  0.      , 0.      ,-0.      ,-0.      ,-0.      ,-0.      ,-0.      ,
  0.      ,-0.      ,-0.      ,-0.      ,-0.      ,-0.      , 0.      ,
  0.      ,-0.      , 0.      , 0.      , 0.      , 0.      ,-0.      ,
 -0.      ,-0.      , 0.      ,-0.      , 0.      ,-0.      , 0.      ,
 -0.      , 0.      , 0.      , 0.      , 0.      , 0.      , 0.      ,
  0.      ,-0.      , 0.      , 0.      , 0.      , 0.      ,-0.      ,
 -0.      , 0.      , 0.      , 0.      , 0.      , 0.      ,-0.      ,
  0.      , 0.      ,-0.      ,-0.      ,-0.      , 0.      , 0.      ,
  0.      , 0.      ,-0.      , 0.      , 0.      , 0.      , 0.      ,
  0.      ,-0.      , 0.      ,-0.      , 0.      ,-0.      ,-0.      ,
  0.      ,-0.      ,-0.      ,-0.      , 0.      ,-0.      , 0.      ,
  0.      , 0.      , 0.      , 0.      ,-0.      , 0.      , 0.      ,
  0.      ,-0.      ,-0.      ]"
Burns,"[ 0.107937,-0.118724,-0.134883,-0.1427  ,-0.026096, 0.291889,-0.093715,
 -0.062976, 0.048948,-0.147428, 0.058527,-0.466334, 0.40656 , 0.362657,
  0.46061 ,-0.049293,-0.085951,-0.065277,-0.174029,-0.032121,-0.004751,
 -0.099231, 0.159649,-0.01184 , 0.005188,-0.036142, 0.019517, 0.013959,
  0.016428,-0.000447,-0.      , 0.      ,-0.      ,-0.      ,-0.      ,
 -0.      ,-0.      ,-0.      ,-0.      , 0.      ,-0.      , 0.      ,
 -0.      ,-0.      , 0.      , 0.      ,-0.      ,-0.      , 0.      ,
 -0.      ,-0.      ,-0.      ,-0.      ,-0.      , 0.      ,-0.      ,
  0.      ,-0.      ,-0.      ,-0.      , 0.      , 0.      , 0.      ,
  0.      , 0.      ,-0.      , 0.      ,-0.      , 0.      , 0.      ,
 -0.      , 0.      , 0.      ,-0.      , 0.      ,-0.      ,-0.      ,
 -0.      , 0.      ,-0.      ,-0.      ,-0.      , 0.      ,-0.      ,
  0.      , 0.      , 0.      , 0.      , 0.      ,-0.      , 0.      ,
 -0.      , 0.      ,-0.      ,-0.      , 0.      ,-0.      , 0.      ,
 -0.      ,-0.      ,-0.      ,-0.      , 0.      ,-0.      , 0.      ,
  0.      , 0.      , 0.      , 0.      ,-0.      , 0.      , 0.      ,
  0.      , 0.      , 0.      , 0.      , 0.      ,-0.      , 0.      ,
 -0.      , 0.      , 0.      , 0.      , 0.      , 0.      ,-0.      ,
  0.      ,-0.      ,-0.      , 0.      ,-0.      , 0.      , 0.      ,
  0.      ,-0.      ,-0.      ]"
Burns,"[ 0.227545,-0.212019,-0.299087, 0.050029, 0.056082, 0.172997,-0.11859 ,
 -0.123969, 0.093326,-0.037845, 0.006713,-0.23854 ,-0.167174,-0.257005,
 -0.004082, 0.098999, 0.672397, 0.158116, 0.118869, 0.106283, 0.017059,
 -0.156704, 0.138838,-0.153948, 0.057715,-0.022106, 0.025553,-0.054917,
  0.004548, 0.00542 ,-0.      ,-0.      , 0.      ,-0.      , 0.      ,
  0.      , 0.      ,-0.      , 0.      , 0.      ,-0.      , 0.      ,
 -0.      ,-0.      , 0.      ,-0.      ,-0.      ,-0.      , 0.      ,
 -0.      , 0.      , 0.      , 0.      ,-0.      , 0.      ,-0.      ,
  0.      ,-0.      ,-0.      , 0.      ,-0.      ,-0.      ,-0.      ,
  0.      , 0.      , 0.      , 0.      ,-0.      , 0.      , 0.      ,
 -0.      , 0.      ,-0.      , 0.      ,-0.      , 0.      , 0.      ,
 -0.      , 0.      , 0.      , 0.      ,-0.      , 0.      , 0.      ,
  0.      , 0.      , 0.      ,-0.      ,-0.      ,-0.      , 0.      ,
  0.      ,-0.      , 0.      , 0.      , 0.      ,-0.      , 0.      ,
 -0.      ,-0.      , 0.      ,-0.      , 0.      ,-0.      , 0.      ,
 -0.      ,-0.      , 0.      ,-0.      , 0.      , 0.      , 0.      ,
 -0.      , 0.      , 0.      ,-0.      ,-0.      , 0.      ,-0.      ,
 -0.      , 0.      , 0.      , 0.      , 0.      ,-0.      , 0.      ,
 -0.      , 0.      , 0.      , 0.      , 0.      , 0.      ,-0.      ,
  0.      ,-0.      , 0.      ]"
Burns,"[ 0.232008, 0.008944, 0.279584,-0.051615,-0.165653,-0.127567,-0.37698 ,
  0.134453,-0.124289, 0.399751, 0.099904,-0.153044, 0.219977,-0.271505,
 -0.009114, 0.064885, 0.116012,-0.022277,-0.100354,-0.368073,-0.054478,
  0.249781, 0.144084, 0.075365, 0.033292, 0.024147,-0.198194, 0.010065,
  0.167521, 0.076584, 0.      ,-0.      , 0.      ,-0.      ,-0.      ,
 -0.      ,-0.      ,-0.      ,-0.      ,-0.      ,-0.      , 0.      ,
 -0.      ,-0.      , 0.      , 0.      ,-0.      ,-0.      , 0.      ,
  0.      , 0.      , 0.      ,-0.      ,-0.      ,-0.      , 0.      ,
 -0.      , 0.      , 0.      , 0.      ,-0.      , 0.      , 0.      ,
  0.      , 0.      ,-0.      ,-0.      ,-0.      , 0.      , 0.      ,
  0.      , 0.      , 0.      , 0.      ,-0.      , 0.      , 0.      ,
  0.      , 0.      , 0.      , 0.      , 0.      , 0.      , 0.      ,
 -0.      , 0.      ,-0.      , 0.      ,-0.      ,-0.      ,-0.      ,
 -0.      ,-0.      , 0.      ,-0.      ,-0.      , 0.      ,-0.      ,
  0.      , 0.      ,-0.      ,-0.      , 0.      ,-0.      ,-0.      ,
 -0.      ,-0.      ,-0.      , 0.      , 0.      , 0.      ,-0.      ,
  0.      ,-0.      , 0.      ,-0.      , 0.      ,-0.      , 0.      ,
 -0.      , 0.      ,-0.      , 0.      ,-0.      ,-0.      , 0.      ,
  0.      ,-0.      ,-0.      ,-0.      , 0.      ,-0.      , 0.      ,
 -0.      , 0.      , 0.      ]"
Burns,"[ 0.021829,-0.035457,-0.031915,-0.107404, 0.060359, 0.251455, 0.073999,
  0.48412 , 0.386972, 0.268507,-0.101396, 0.259321,-0.067199, 0.018358,
  0.159803,-0.020908, 0.100985,-0.493519, 0.141228,-0.067585,-0.000651,
 -0.108437, 0.094441,-0.022963,-0.00082 ,-0.211463,-0.049728,-0.032251,
 -0.031966,-0.007991,-0.      ,-0.      , 0.      ,-0.      ,-0.      ,
 -0.      , 0.      ,-0.      ,-0.      ,-0.      ,-0.      , 0.      ,
 -0.      ,-0.      ,-0.      , 0.      ,-0.      ,-0.      , 0.      ,
 -0.      ,-0.      , 0.      , 0.      ,-0.      , 0.      ,-0.      ,
  0.      ,-0.      , 0.      ,-0.      ,-0.      , 0.      , 0.      ,
  0.      ,-0.      , 0.      ,-0.      ,-0.      , 0.      ,-0.      ,
 -0.      , 0.      , 0.      ,-0.      , 0.      ,-0.      ,-0.      ,
 -0.      , 0.      , 0.      ,-0.      ,-0.      ,-0.      ,-0.      ,
 -0.      , 0.      ,-0.      ,-0.      ,-0.      ,-0.      ,-0.      ,
  0.      , 0.      , 0.      , 0.      , 0.      ,-0.      , 0.      ,
 -0.      , 0.      ,-0.      , 0.      ,-0.      ,-0.      , 0.      ,
 -0.      ,-0.      , 0.      , 0.      ,-0.      , 0.      , 0.      ,
 -0.      , 0.      ,-0.      ,-0.      ,-0.      ,-0.      , 0.      ,
 -0.      , 0.      , 0.      , 0.      , 0.      , 0.      , 0.      ,
  0.      , 0.      , 0.      , 0.      , 0.      , 0.      ,-0.      ,
 -0.      ,-0.      ,-0.      ]"
Burns,"[ 0.263977,-0.186186, 0.064353,-0.394665,-0.169603,-0.014526,-0.128944,
 -0.337997, 0.381533, 0.003742, 0.029528, 0.029527, 0.003099, 0.11154 ,
 -0.156847,-0.00093 ,-0.02129 , 0.023364, 0.048518,-0.007581, 0.007424,
  0.111978,-0.290997, 0.137318, 0.435176,-0.277371, 0.063332, 0.021947,
  0.02933 , 0.0179  ,-0.      , 0.      ,-0.      , 0.      ,-0.      ,
  0.      ,-0.      ,-0.      , 0.      , 0.      , 0.      , 0.      ,
  0.      , 0.      , 0.      , 0.      , 0.      ,-0.      ,-0.      ,
 -0.      ,-0.      ,-0.      , 0.      , 0.      ,-0.      , 0.      ,
 -0.      ,-0.      ,-0.      , 0.      , 0.      , 0.      ,-0.      ,
 -0.      , 0.      ,-0.      ,-0.      ,-0.      ,-0.      , 0.      ,
 -0.      ,-0.      ,-0.      , 0.      ,-0.      , 0.      ,-0.      ,
  0.      , 0.      , 0.      , 0.      , 0.      , 0.      ,-0.      ,
  0.      ,-0.      ,-0.      ,-0.      ,-0.      ,-0.      , 0.      ,
  0.      , 0.      ,-0.      ,-0.      ,-0.      , 0.      , 0.      ,
  0.      ,-0.      , 0.      , 0.      , 0.      , 0.      ,-0.      ,
  0.      , 0.      , 0.      ,-0.      , 0.      ,-0.      , 0.      ,
  0.      ,-0.      , 0.      , 0.      ,-0.      ,-0.      ,-0.      ,
  0.      , 0.      ,-0.      ,-0.      , 0.      ,-0.      , 0.      ,
  0.      , 0.      , 0.      , 0.      , 0.      , 0.      , 0.      ,
 -0.      , 0.      , 0.      ]"
Burns,"[ 0.198248, 0.388199,-0.161997,-0.144395,-0.008007, 0.28072 , 0.018546,
 -0.190347,-0.273307, 0.086746, 0.167623, 0.373989,-0.054296,-0.001239,
  0.05094 ,-0.008499,-0.014111,-0.024262,-0.102203,-0.026945,-0.032323,
 -0.194023, 0.306778, 0.18078 , 0.391984, 0.229607,-0.025833,-0.041615,
 -0.06793 ,-0.028846,-0.      , 0.      , 0.      ,-0.      ,-0.      ,
 -0.      , 0.      , 0.      , 0.      , 0.      ,-0.      ,-0.      ,
  0.      ,-0.      , 0.      ,-0.      , 0.      ,-0.      , 0.      ,
 -0.      ,-0.      ,-0.      ,-0.      ,-0.      , 0.      ,-0.      ,
 -0.      , 0.      , 0.      ,-0.      , 0.      ,-0.      ,-0.      ,
 -0.      ,-0.      ,-0.      , 0.      ,-0.      , 0.      , 0.      ,
  0.      , 0.      ,-0.      ,-0.      , 0.      ,-0.      ,-0.      ,
 -0.      ,-0.      , 0.      ,-0.      , 0.      , 0.      ,-0.      ,
  0.      , 0.      ,-0.      ,-0.      , 0.      ,-0.      ,-0.      ,
 -0.      ,-0.      ,-0.      ,-0.      , 0.      , 0.      ,-0.      ,
  0.      , 0.      , 0.      ,-0.      ,-0.      ,-0.      ,-0.      ,
 -0.      ,-0.      ,-0.      ,-0.      ,-0.      , 0.      , 0.      ,
 -0.      ,-0.      ,-0.      , 0.      , 0.      , 0.      , 0.      ,
 -0.      ,-0.      , 0.      , 0.      ,-0.      ,-0.      , 0.      ,
 -0.      ,-0.      ,-0.      , 0.      ,-0.      , 0.      , 0.      ,
  0.      ,-0.      , 0.      ]"
